,CHEBI:22712,CHEBI:35618,CHEBI:50990,CHEBI:35356,CHEBI:50492,CHEBI:36963,CHEBI:38104,CHEBI:38101,CHEBI:33302,CHEBI:50860,CHEBI:35352,CHEBI:25701,CHEBI:72695,CHEBI:36586,CHEBI:38443,CHEBI:24431,CHEBI:33836,CHEBI:24532,CHEBI:35622,CHEBI:48891,CHEBI:25806,CHEBI:25698,CHEBI:33261,CHEBI:51143,CHEBI:22727,CHEMONTID:0000000,CHEMONTID:0000002,CHEMONTID:0000123,CHEMONTID:0003410,CHEMONTID:0004742,CHEMONTID:0002341,CHEMONTID:0000228,CHEMONTID:0000128,CHEMONTID:0003033,CHEMONTID:0001368,CHEMONTID:0000364,CHEMONTID:0004140,CHEMONTID:0004139,CHEMONTID:0004557,CHEMONTID:0000278,CHEMONTID:0003940,CHEMONTID:0004150,CHEMONTID:0001831,CHEBI:23763,CHEBI:76983,CHEBI:74266,CHEBI:33552,CHEBI:35358,CHEBI:47857,CHEBI:35850,CHEMONTID:0002448,CHEMONTID:0002279,CHEMONTID:0000031,CHEMONTID:0004233,CHEMONTID:0002287,CHEMONTID:0000490,CHEMONTID:0002023,CHEMONTID:0000270,CHEMONTID:0003137,CHEBI:50699,CHEBI:24400,CHEBI:50413,CHEBI:46942,CHEBI:22478,CHEBI:35681,CHEBI:26191,CHEBI:50995,CHEBI:59769,CHEBI:15734,CHEBI:61689,CHEBI:78616,CHEBI:18059,CHEBI:61697,CHEBI:52782,CHEBI:17478,CHEBI:33822,CHEBI:30879,CHEBI:32952,CHEBI:32863,CHEBI:28963,CHEBI:47779,CHEMONTID:0004603,CHEMONTID:0000323,CHEMONTID:0000011,CHEMONTID:0001675,CHEMONTID:0000198,CHEMONTID:0002125,CHEMONTID:0002207,CHEMONTID:0002435,CHEMONTID:0002509,CHEMONTID:0002012,CHEMONTID:0003675,CHEMONTID:0001897,CHEMONTID:0001661,CHEMONTID:0002286,CHEMONTID:0002228,CHEMONTID:0001656,CHEMONTID:0000286,CHEMONTID:0003305,CHEMONTID:0000282,CHEBI:23665,CHEBI:50996,CHEBI:38207,CHEBI:5686,CHEBI:48901,CHEBI:33659,CHEBI:51151,CHEBI:32876,CHEBI:26421,CHEMONTID:0003901,CHEMONTID:0000283,CHEMONTID:0003886,CHEMONTID:0000229,CHEMONTID:0004144,CHEMONTID:0003633,CHEBI:22187,CHEBI:76224,CHEBI:17087,CHEMONTID:0004298,CHEMONTID:0000119,CHEMONTID:0000321,CHEMONTID:0003671,CHEMONTID:0002285,CHEMONTID:0000118,CHEMONTID:0003670,CHEMONTID:0004296,CHEBI:26151,CHEMONTID:0000195,CHEMONTID:0002239,CHEBI:36683,CHEBI:36684,CHEBI:50887,CHEMONTID:0001099,CHEMONTID:0001030,CHEMONTID:0001516,CHEBI:51569,CHEBI:33575,CHEBI:25409,CHEBI:25186,CHEBI:35338,CHEBI:37622,CHEBI:29067,CHEBI:25985,CHEBI:33709,CHEBI:16670,CHEBI:64611,CHEBI:32877,CHEBI:32988,CHEMONTID:0000264,CHEMONTID:0000265,CHEMONTID:0000013,CHEMONTID:0004321,CHEMONTID:0002402,CHEMONTID:0002551,CHEMONTID:0001563,CHEMONTID:0001401,CHEMONTID:0000051,CHEMONTID:0000188,CHEMONTID:0001663,CHEMONTID:0001137,CHEMONTID:0001205,CHEMONTID:0000347,CHEMONTID:0000060,CHEBI:22160,CHEBI:22723,CHEBI:22562,CHEMONTID:0000303,CHEMONTID:0002363,CHEMONTID:0002565,CHEMONTID:0000284,CHEMONTID:0004176,CHEBI:24783,CHEBI:53662,CHEBI:24436,CHEMONTID:0004707,CHEMONTID:0000375,CHEMONTID:0000474,CHEMONTID:0003152,CHEMONTID:0000117,CHEBI:51683,CHEBI:48378,CHEMONTID:0000138,CHEMONTID:0004113,CHEMONTID:0002484,CHEBI:38314,CHEBI:38313,CHEMONTID:0000067,CHEBI:38260,CHEBI:27024,CHEBI:24631,CHEMONTID:0003276,CHEMONTID:0000114,CHEMONTID:0000218,CHEMONTID:0000089,CHEBI:24922,CHEMONTID:0002566,CHEMONTID:0002932,CHEMONTID:0002054,CHEMONTID:0002955,CHEMONTID:0001658,CHEBI:24897,CHEBI:46766,CHEMONTID:0000261,CHEMONTID:0002496,CHEMONTID:0000127,CHEMONTID:0003023,CHEMONTID:0001664,CHEBI:48277,CHEBI:18000,CHEBI:37143,CHEBI:35727,CHEBI:13759,CHEBI:68452,CHEBI:24469,CHEMONTID:0001878,CHEMONTID:0000313,CHEMONTID:0003899,CHEMONTID:0001100,CHEMONTID:0001031,CHEMONTID:0000099,CHEMONTID:0000469,CHEMONTID:0001517,CHEMONTID:0001027,CHEBI:23449,CHEBI:62761,CHEBI:22617,CHEBI:24599,CHEBI:70813,CHEBI:24899,CHEBI:47003,CHEBI:22654,CHEBI:52898,CHEBI:26273,CHEBI:27267,CHEBI:26649,CHEBI:22475,CHEBI:22278,CHEBI:46770,CHEBI:33853,CHEBI:29348,CHEBI:24780,CHEBI:35489,CHEBI:24995,CHEBI:15841,CHEBI:60027,CHEMONTID:0003297,CHEMONTID:0003298,CHEMONTID:0001995,CHEMONTID:0004319,CHEMONTID:0004320,CHEMONTID:0004311,CHEMONTID:0004315,CHEMONTID:0004330,CHEMONTID:0004329,CHEMONTID:0004312,CHEMONTID:0000064,CHEMONTID:0004322,CHEMONTID:0001189,CHEMONTID:0004310,CHEMONTID:0004316,CHEMONTID:0002309,CHEMONTID:0004314,CHEMONTID:0002256,CHEMONTID:0004646,CHEMONTID:0001096,CHEMONTID:0000078,CHEMONTID:0001662,CHEMONTID:0002800,CHEMONTID:0000160,CHEBI:47956,CHEBI:25477,CHEBI:33307,CHEMONTID:0000023,CHEMONTID:0000510,CHEMONTID:0001230,CHEMONTID:0001198,CHEBI:26878,CHEBI:18379,CHEBI:23424,CHEMONTID:0001670,CHEMONTID:0001292,CHEMONTID:0000362,CHEBI:17062,CHEBI:23480,CHEMONTID:0000129,CHEMONTID:0004343,CHEMONTID:0002674,CHEMONTID:0002647,CHEMONTID:0002510,CHEBI:38337,CHEBI:48588,CHEBI:38338,CHEBI:39447,CHEBI:51689,CHEBI:47989,CHEMONTID:0001530,CHEMONTID:0000291,CHEMONTID:0002357,CHEMONTID:0001262,CHEMONTID:0002202,CHEMONTID:0003890,CHEMONTID:0000517,CHEBI:48591,CHEMONTID:0000335,CHEBI:38530,CHEBI:25810,CHEBI:22315,CHEBI:22512,CHEBI:50893,CHEBI:35875,CHEBI:26401,CHEMONTID:0001797,CHEMONTID:0000245,CHEMONTID:0000247,CHEMONTID:0000485,CHEMONTID:0001505,CHEMONTID:0000279,CHEMONTID:0001225,CHEMONTID:0002311,CHEBI:18133,CHEBI:20857,CHEBI:26961,CHEBI:35381,CHEMONTID:0004165,CHEMONTID:0001498,CHEMONTID:0002204,CHEMONTID:0001091,CHEMONTID:0003481,CHEMONTID:0001167,CHEMONTID:0002105,CHEMONTID:0000012,CHEMONTID:0000259,CHEMONTID:0001549,CHEMONTID:0001564,CHEBI:83565,CHEBI:38976,CHEBI:33308,CHEBI:36054,CHEMONTID:0000176,CHEMONTID:0001350,CHEMONTID:0004551,CHEMONTID:0002811,CHEMONTID:0001238,CHEMONTID:0000254,CHEMONTID:0002463,CHEBI:38836,CHEBI:38767,CHEMONTID:0004293,CHEMONTID:0003482,CHEBI:59777,CHEBI:39430,CHEBI:51614,CHEMONTID:0000369,CHEMONTID:0001729,CHEMONTID:0004472,CHEMONTID:0001540,CHEMONTID:0001316,CHEBI:46848,CHEBI:36820,CHEBI:26410,CHEBI:46845,CHEBI:22327,CHEBI:25693,CHEBI:26144,CHEBI:64709,CHEBI:16385,CHEMONTID:0003359,CHEMONTID:0002019,CHEMONTID:0003357,CHEMONTID:0000226,CHEMONTID:0001666,CHEMONTID:0003862,CHEBI:52849,CHEBI:38106,CHEMONTID:0001894,CHEBI:26588,CHEBI:38102,CHEMONTID:0000098,CHEMONTID:0001693,CHEMONTID:0004105,CHEMONTID:0002449,CHEBI:63175,CHEMONTID:0001813,CHEMONTID:0002010,CHEMONTID:0000189,CHEBI:35275,CHEBI:59793,CHEBI:59792,CHEMONTID:0002205,CHEMONTID:0002131,CHEMONTID:0003260,CHEMONTID:0001925,CHEMONTID:0002450,CHEBI:37963,CHEBI:33823,CHEBI:3992,CHEBI:17135,CHEBI:26407,CHEBI:2571,CHEMONTID:0003909,CHEMONTID:0001334,CHEMONTID:0002951,CHEMONTID:0001211,CHEMONTID:0003889,CHEMONTID:0003487,CHEMONTID:0000132,CHEBI:22531,CHEMONTID:0003964
DB06203,benzenes,,,,,organooxygen compound,,organonitrogen heterocyclic compound,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,,,nitrogen molecular entity,,Organic compounds,,,,,,,,,,,,Azacyclic compounds,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,,,,,,,ureas,,Benzenoids,Benzene and substituted derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,amine,,,,,Organooxygen compounds,,,,,,,,,,,,,,,,,,dialkylarylamine,tertiary amino compound,,,,organic aromatic compound,,tertiary amine,,Dialkylarylamines,,,,Heteroaromatic compounds,,,,,,,,,,,,,piperidines,,,,,,,,,,,,,,,,,,,,primary amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diazines,,,,,,,,,,,,,,,,,,,,,,,,,,alkylamine,,,,,,,,,Monoalkylamines,,,,,,,,,,,,,,,,,,,,,,lactam,,,,,,,,,,,,,,,,,,,,,,,,,,Lactams,,,,,,,,,nitrile,cyanides,,,Nitriles,,,,,,,,pyrimidone,aminopiperidine,aminopyrimidine,pyrimidines,enone,enamine,Benzonitriles,Pyrimidones,Aminopiperidines,Aminopyrimidines and derivatives,Hydropyrimidines,Vinylogous amides,Ureas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06335,,,,,,organooxygen compound,,organonitrogen heterocyclic compound,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,carbonyl compound,,chemical entity,,organic heterocyclic compound,,,oxygen molecular entity,,,nitrogen molecular entity,,Organic compounds,,,,,,,,,,,,Azacyclic compounds,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,Carbonyl compounds,,,,,,,,,,,,,,,,,,,,,,,polyol,,,,,,,,,,organic hydroxy compound,alcohol,amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,piperidines,,,,,,,,,,,,,,carboxamide,,,amino acid,peptide,,primary amine,amide,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,,,,,,,Amino acids and derivatives,Alpha amino acids and derivatives,,,,,,,,,,,,,,,,,,,,,,,,,pyrrolidines,,,,,,,,,,,,,,N-acylpyrrolidine,,,,N-acylpyrrolidines,Tertiary carboxylic acid amides,,,,,alkylamine,,,,,,,,,Monoalkylamines,,,,,,,,,,,,,,,amino acid amide,,,,,,,,,,,,,,,,,,,,,,,,,Alpha amino acid amides,,,,,,,,,,,,,,,,tertiary alcohol,nitrile,cyanides,Tertiary alcohols,Cyclic alcohols and derivatives,Nitriles,,,,,,,,,,,,,,,,,,,,,N-acylpiperidine,N-acylpiperidines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08882,,,,,,organooxygen compound,,organonitrogen heterocyclic compound,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,,,nitrogen molecular entity,,Organic compounds,Organoheterocyclic compounds,,,,,,,,,,,Azacyclic compounds,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,,,,,,,ureas,,Benzenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,amine,,,,,Organooxygen compounds,,,,,,,,,,,,,,,,,,dialkylarylamine,tertiary amino compound,,,,organic aromatic compound,,tertiary amine,,Dialkylarylamines,,,,Heteroaromatic compounds,,,,,,,,,,,,,piperidines,,,,,,,,,,,,,,,,,,,,primary amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diazines,,,,,,,,,,,,,,,,,,,,,,,,,,alkylamine,azole,,,,,,,,Monoalkylamines,,,,,,,,,,,,,,,,,,,,imidazoles,,lactam,,,,,,,,,,,,,,,,,,,,,,,,,,Lactams,,,,,,,,,,,,,,,,,,,,,pyrimidone,aminopiperidine,,pyrimidines,enone,enamine,,Pyrimidones,Aminopiperidines,,,Vinylogous amides,Ureas,,,quinazolines,oxopurine,alkaloid,aminoimidazole,azaarene,imidazopyrimidine,purines,Imidazopyrimidines,Purines and purine derivatives,Xanthines,Quinazolines,6-oxopurines,Alkaloids and derivatives,Aminoimidazoles,N-substituted imidazoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08907,benzenes,,,,,organooxygen compound,oxacycle,,,organic molecular entity,,,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,ether,,,,Organic compounds,,,,,,,,,,,Oxacyclic compounds,,,,,Hydrocarbon derivatives,,,,,,,,,,,,,,,,,,,glycoside,,oxanes,,secondary alcohol,polyol,,,primary alcohol,,carbohydrates and carbohydrate derivatives,,,,,organic hydroxy compound,alcohol,,,,,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,,,Oxanes,,,Secondary alcohols,Polyols,,,Primary alcohols,,,,,,,,organic aromatic compound,,,,,,,,Heteroaromatic compounds,,,,,,,,,,,,,,,,,organohalogen compound,haloarene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toluenes,,,,,,,,,,,,,,,,,,,,,organofluorine compound,,,,,,,,Fluorobenzenes,Aryl fluorides,,,Organofluorides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hexose,C-glycosyl compound,thiophenes,monosaccharide,Phenolic glycosides,Hexoses,C-glycosyl compounds,Toluenes,"2,5-disubstituted thiophenes",Dialkyl ethers,Glycosyl compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08962,benzenes,,,,,organooxygen compound,,,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,carbonyl compound,,chemical entity,benzenoid aromatic compound,,,,oxygen molecular entity,,organosulfur compound,nitrogen molecular entity,,Organic compounds,,,,,,,,,,Organic carbonic acids and derivatives,,,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,Carbonyl compounds,,N-sulfonylurea,,sulfonic acid derivative,sulfonamide,,sulfone,,,Benzenesulfonamides,Benzenesulfonyl compounds,,Sulfonylureas,,Organosulfonic acids and derivatives,Aminosulfonyl compounds,,,,,,secondary alcohol,polyol,,,,,,lipid,,,,organic hydroxy compound,alcohol,,,,,,,,,,,,,,,,,Secondary alcohols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoterpenoid,,,,,,,,ether lipid,,,,,,,,,,,Aromatic monoterpenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toluenes,,Tosyl compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclic alcohols and derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09022,benzenes,,,,,organooxygen compound,,,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,carbonyl compound,,chemical entity,benzenoid aromatic compound,,,,oxygen molecular entity,,,nitrogen molecular entity,,Organic compounds,,,,,,,,,,,,,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,,,,,,,,,Benzenoids,Benzene and substituted derivatives,,,,,,,,,,,,,,,secondary amino compound,,,,,,,,,,,amine,secondary amine,,,,Organooxygen compounds,,,,,,,,,,,,,Dialkylamines,,,,,,,,,,,,,,,,,,,,,,,,,Benzoyl derivatives,,,,,,,,,,organohalogen compound,,,,,,,,,amphetamines,,,,amino acid,peptide,,primary amine,,,,,,,,,,,Amphetamines and derivatives,,Monocarboxylic acids and derivatives,,Amino acids and derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aralkylamine,organofluorine compound,,,,haloalkane,,,Aralkylamines,,,,,Organofluorides,Alkyl fluorides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(trifluoromethyl)benzenes,alkylbenzene,carboxylic ester,benzoate ester,Benzoic acids and derivatives,Benzoic acid esters,Trifluoromethylbenzenes,Phenylpropanes,Carboxylic acid esters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09198,benzenes,aromatic ether,thiazolidenediones,dicarboximide,thiocarbonyl compound,organooxygen compound,,organonitrogen heterocyclic compound,pnictogen molecular entity,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,carbonyl compound,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,thiazolidines,thiazolidinone,oxygen molecular entity,ether,organosulfur compound,nitrogen molecular entity,,Organic compounds,,,,Phenoxy compounds,,Thiazolidinediones,Alkyl aryl ethers,Dicarboximides,Thiocarbamic acid derivatives,Organic carbonic acids and derivatives,,Azacyclic compounds,Organopnictogen compounds,,Organic oxides,Hydrocarbon derivatives,Carbonyl compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amine,,,,Organic oxygen compounds,Organooxygen compounds,,,,,,,,,,,,,,,,,,dialkylarylamine,tertiary amino compound,,heterocyclic compound,,organic aromatic compound,,tertiary amine,,Dialkylarylamines,,Imidolactams,,Heteroaromatic compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,methoxybenzene,,Anisoles,Methoxybenzenes,,,diazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aminopyrimidine,pyrimidines,,,,,,Aminopyrimidines and derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethers,Diarylethers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11698,benzenes,,,,,organooxygen compound,oxacycle,,,organic molecular entity,,,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,ether,,,,Organic compounds,,,,,,,,,,,Oxacyclic compounds,,,,,Hydrocarbon derivatives,,,,,,,,,,,,,,,,,,,glycoside,,oxanes,,secondary alcohol,polyol,,,primary alcohol,,carbohydrates and carbohydrate derivatives,,,,,organic hydroxy compound,alcohol,,,,,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,,,Oxanes,,,Secondary alcohols,Polyols,,,Primary alcohols,,,,,,,,organic aromatic compound,,,,,,,,Heteroaromatic compounds,,,,,,,,,,,,,,,,,organohalogen compound,haloarene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organofluorine compound,,,,,,,,Fluorobenzenes,Aryl fluorides,,,Organofluorides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hexose,C-glycosyl compound,thiophenes,monosaccharide,Phenolic glycosides,Hexoses,C-glycosyl compounds,,,Dialkyl ethers,Glycosyl compounds,,,,,,,,,,,,,,,,1-benzothiophenes,benzothiophenes,1-benzothiophenes,"2,3,5-trisubstituted thiophenes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11827,benzenes,aromatic ether,,,,organooxygen compound,oxacycle,,,organic molecular entity,,,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,ether,,,,Organic compounds,,,,Phenoxy compounds,Phenol ethers,,Alkyl aryl ethers,,,,Oxacyclic compounds,,,,,Hydrocarbon derivatives,,,,,,,,,Benzenoids,Benzene and substituted derivatives,,,,,,,,,,,oxanes,,secondary alcohol,polyol,,acetal,primary alcohol,,carbohydrates and carbohydrate derivatives,,,,,organic hydroxy compound,alcohol,,,,,,,,,,,,,,Oxanes,,,Secondary alcohols,Polyols,,,Primary alcohols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organochlorine compound,organohalogen compound,haloarene,Chlorobenzenes,Aryl chlorides,Organochlorides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monosaccharide,,,,,,,,,,,,,,,,,,,,,,,,,,,ketal,dioxolane,diarylmethane,Diphenylmethanes,Oxepanes,Ketals,Monosaccharides,"1,3-dioxolanes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11950,benzenes,,,,,organooxygen compound,,organonitrogen heterocyclic compound,,organic molecular entity,organonitrogen compound,organic oxide,organic molecule,carbonyl compound,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,thiazolidines,,oxygen molecular entity,,organosulfur compound,nitrogen molecular entity,,Organic compounds,,,,,,,,,,,,Azacyclic compounds,,,Organic oxides,Hydrocarbon derivatives,Carbonyl compounds,,,,,,,,,Benzene and substituted derivatives,,,,,,,,,,,,,,,secondary amino compound,,,,,,,,,,,amine,secondary amine,,,,,,,,,,,,,,,,,Dialkylamines,,,,,dialkylarylamine,tertiary amino compound,,,,organic aromatic compound,,tertiary amine,,Dialkylarylamines,,,,Heteroaromatic compounds,,,,,,,,,,,,,,,Trialkylamines,,,,,,,,carboxylic acid,,,,carboxamide,,,amino acid,peptide,,,amide,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,,,,,,,,,,Amino acids and derivatives,Alpha amino acids and derivatives,,,,,,,,,,,,,,,,,,,,,,,,,pyrrolidines,,,,,,,,,,,,,,,,,,,Tertiary carboxylic acid amides,,,,,,azole,,,,,,,,,,,,,,,,,,,,,,,amino acid amide,,pyrrolidinecarboxamide,,,,,,,,,,,,,,,,,,,,,,,Alpha amino acid amides,,Pyrrolidinecarboxamides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-arylpiperazine,ring assembly,pyrazoles,N-alkylpiperazine,aliphatic sulfide,organic heteromonocyclic compound,piperazines,organic acid,organic sulfide,N-arylpiperazines,Phenylpyrazoles,N-alkylpiperazines,Thiazolidines,Thiohemiaminal derivatives,Dialkylthioethers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB12214,benzenes,aromatic ether,,,,organooxygen compound,,,,organic molecular entity,,,organic molecule,,,chemical entity,benzenoid aromatic compound,organic heterocyclic compound,,,oxygen molecular entity,ether,organosulfur compound,,,Organic compounds,,,,Phenoxy compounds,,,Alkyl aryl ethers,,,,,,,,,Hydrocarbon derivatives,,,,,,,,,Benzenoids,Benzene and substituted derivatives,,,,,,,,,,,,,secondary alcohol,polyol,,,primary alcohol,,,,,,,organic hydroxy compound,alcohol,,,,,,,,,,,,,,,,,Secondary alcohols,Polyols,,,Primary alcohols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,methoxybenzene,,Anisoles,Methoxybenzenes,,,,,,toluenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toluenes,,,,,,,,,,,,,,,,,,,,,,,,,diarylmethane,Diphenylmethanes,,,,,,,,,aliphatic sulfide,,,,organic sulfide,,,,,,Dialkylthioethers,organic heteromonocyclic ring,organosulfur heterocyclic compound,Thianes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB12509,,,,,,,,organonitrogen heterocyclic compound,,organic molecular entity,organonitrogen compound,,organic molecule,,,chemical entity,,organic heterocyclic compound,,,,,,nitrogen molecular entity,,Organic compounds,Organoheterocyclic compounds,,,,,,,,,,,Azacyclic compounds,,,,Hydrocarbon derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dipolar compound,,,,,,,,"Propargyl-type 1,3-dipolar organic compounds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guanidines,,Guanidines,,Carboximidamides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,5-triazines",triazines,Triazines,Aminotriazines,"1,3,5-triazines",Amines,,,,,,,,,,,,,,,,,,,,,,,,,,,
